iter	Logloss
0	0.6760530869
1	0.659343939
2	0.6444279992
3	0.6290593555
4	0.6142527436
5	0.6003666182
6	0.585651637
7	0.5730381501
8	0.5594491567
9	0.5489291414
10	0.5376829599
11	0.5253897243
12	0.5147088385
13	0.5018327137
14	0.4912667407
15	0.4817589942
16	0.4733044383
17	0.4651862872
18	0.4562684314
19	0.4490632452
20	0.4412931075
21	0.4341271119
22	0.4261938911
23	0.419924934
24	0.4165614208
25	0.4109721741
26	0.4046700509
27	0.3987863593
28	0.3934223847
29	0.3872978383
30	0.3816877805
31	0.3754107892
32	0.3706185982
33	0.3649240679
34	0.3619028306
35	0.3570398931
36	0.3516218427
37	0.3468745217
38	0.3421236978
39	0.3375380714
40	0.3322196807
41	0.3296212469
42	0.3259027101
43	0.3231599643
44	0.3195702359
45	0.3148153627
46	0.3111212237
47	0.3079200502
48	0.304007563
49	0.3001496774
50	0.2986144906
51	0.2955175747
52	0.2925784813
53	0.289661934
54	0.2862154146
55	0.2829967513
56	0.2802726692
57	0.2775756386
58	0.2750193409
59	0.2725426891
60	0.2700079567
61	0.2669334793
62	0.2652620977
63	0.2637133912
64	0.2626368415
65	0.2604384185
66	0.2586930388
67	0.2564852442
68	0.2542769047
69	0.2523529519
70	0.250378518
71	0.2484616369
72	0.2468793063
73	0.2443340434
74	0.2421118606
75	0.2404081532
76	0.2385090708
77	0.2367887583
78	0.2353107271
79	0.2337389396
80	0.2321989262
81	0.2303153389
82	0.2285784014
83	0.2277174257
84	0.2262663029
85	0.224408578
86	0.2225139566
87	0.2209979476
88	0.2193394984
89	0.2180086919
90	0.2167144952
91	0.2152569368
92	0.2140714303
93	0.2125092355
94	0.2113654179
95	0.2099080141
96	0.2089579471
97	0.2080436812
98	0.2066457048
99	0.2054245255
100	0.204190916
101	0.2028967473
102	0.2015892925
103	0.2004641265
104	0.1993414848
105	0.1982567328
106	0.1974940929
107	0.1964255445
108	0.1951637503
109	0.1942258586
110	0.1932065586
111	0.1924412286
112	0.1915965049
113	0.1908832157
114	0.1901461022
115	0.1892133695
116	0.1883594437
117	0.1876170761
118	0.1872940197
119	0.1865127528
120	0.1858125004
121	0.1851178422
122	0.1841690867
123	0.1832915613
124	0.1824771284
125	0.1815970918
126	0.1808826436
127	0.1803036981
128	0.179570082
129	0.1794305157
130	0.1787111781
131	0.1778739529
132	0.1772062411
133	0.1766379282
134	0.1761682521
135	0.1756714159
136	0.1750081015
137	0.1743964482
138	0.1738905136
139	0.1735754776
140	0.172636539
141	0.1720120882
142	0.1713972756
143	0.1706681814
144	0.1700589778
145	0.169769619
146	0.1692651384
147	0.1689135863
148	0.1685974699
149	0.1684674798
150	0.1678943593
151	0.1676277311
152	0.1673092599
153	0.1670744751
154	0.1666700331
155	0.1662882688
156	0.1656372837
157	0.1652334691
158	0.1648990029
159	0.1646363273
160	0.1644070702
161	0.1642566748
162	0.1640041854
163	0.1636246222
164	0.1635094079
165	0.1629151734
166	0.1625652441
167	0.162187003
168	0.1615203609
169	0.161243986
170	0.1609926054
171	0.1608540562
172	0.1605176823
173	0.1601017672
