iter	Passed	Remaining
0	92	92676
1	111	55870
2	133	44237
3	169	42101
4	187	37294
5	206	34287
6	224	31863
7	247	30685
8	266	29358
9	282	27965
10	300	26981
11	314	25855
12	339	25748
13	358	25272
14	378	24886
15	396	24404
16	419	24238
17	441	24083
18	462	23898
19	479	23508
20	495	23084
21	522	23218
22	548	23287
23	573	23320
24	598	23339
25	615	23073
26	634	22863
27	658	22852
28	677	22698
29	698	22576
30	716	22395
31	736	22288
32	759	22267
33	781	22191
34	799	22045
35	823	22063
36	836	21770
37	850	21522
38	860	21196
39	883	21197
40	899	21027
41	917	20926
42	935	20820
43	951	20683
44	970	20587
45	985	20446
46	1004	20374
47	1022	20279
48	1043	20245
49	1062	20192
50	1088	20250
51	1107	20189
52	1126	20136
53	1145	20075
54	1159	19916
55	1176	19839
56	1204	19932
57	1223	19872
58	1241	19797
59	1262	19772
60	1279	19691
61	1296	19615
62	1320	19645
63	1335	19527
64	1352	19453
65	1384	19588
66	1399	19487
67	1421	19486
68	1438	19415
69	1453	19315
70	1467	19200
71	1480	19080
72	1499	19042
73	1519	19015
74	1531	18893
75	1550	18846
76	1567	18793
77	1584	18724
78	1606	18726
79	1627	18716
80	1642	18634
81	1658	18566
82	1674	18498
83	1693	18467
84	1711	18427
85	1735	18441
86	1751	18376
87	1772	18367
88	1797	18394
89	1815	18354
90	1841	18398
91	1858	18344
92	1878	18323
93	1902	18334
94	1925	18342
95	1943	18300
96	1960	18255
97	1977	18204
98	1997	18178
99	2014	18130
100	2029	18066
101	2049	18041
102	2069	18022
103	2088	17992
104	2107	17960
105	2122	17898
106	2141	17875
107	2162	17860
108	2184	17858
109	2203	17828
110	2224	17816
111	2241	17772
112	2260	17747
113	2277	17699
114	2294	17659
115	2311	17614
116	2336	17630
117	2355	17607
118	2371	17554
119	2393	17549
120	2419	17574
121	2436	17531
122	2455	17507
123	2474	17483
124	2495	17465
125	2514	17444
126	2536	17432
127	2560	17445
128	2582	17436
129	2599	17398
130	2624	17410
131	2643	17382
132	2660	17342
133	2675	17290
134	2687	17217
135	2702	17167
136	2717	17117
137	2736	17094
138	2756	17074
139	2772	17031
140	2793	17016
141	2810	16979
142	2831	16967
143	2853	16961
144	2869	16918
145	2887	16889
146	2902	16842
147	2924	16837
148	2951	16859
149	2970	16834
150	2991	16821
151	3014	16819
152	3035	16804
153	3053	16774
154	3068	16727
155	3088	16710
156	3109	16695
157	3129	16679
158	3152	16673
159	3170	16644
160	3189	16623
161	3206	16586
162	3220	16538
163	3240	16517
164	3257	16486
165	3274	16450
166	3290	16412
167	3308	16383
168	3323	16342
169	3342	16320
170	3359	16287
171	3378	16265
172	3392	16215
173	3408	16182
174	3430	16171
175	3450	16155
176	3467	16124
177	3486	16098
178	3507	16086
179	3524	16057
180	3547	16050
181	3567	16032
182	3585	16008
183	3604	15984
184	3624	15966
185	3641	15936
186	3661	15916
187	3678	15889
188	3703	15892
189	3718	15852
190	3738	15834
191	3762	15835
192	3781	15809
193	3810	15832
194	3832	15819
195	3853	15806
196	3868	15767
197	3891	15762
198	3906	15722
199	3920	15681
200	3940	15664
201	3962	15655
202	3981	15631
203	4003	15619
204	4022	15598
205	4037	15562
206	4054	15533
207	4071	15501
208	4083	15455
209	4097	15415
210	4125	15427
211	4143	15399
212	4162	15379
213	4183	15366
214	4207	15361
215	4226	15340
216	4249	15332
217	4285	15373
218	4310	15372
219	4338	15381
220	4360	15371
221	4381	15353
222	4410	15366
223	4431	15352
224	4451	15332
225	4474	15322
226	4498	15318
227	4518	15299
228	4535	15271
229	4556	15253
230	4578	15241
231	4596	15216
232	4622	15216
233	4645	15207
234	4673	15213
235	4694	15197
236	4728	15223
237	4750	15208
238	4769	15188
239	4799	15198
240	4828	15206
241	4855	15207
242	4896	15252
243	4925	15261
244	4956	15273
245	4999	15324
246	5036	15354
247	5072	15382
248	5090	15352
249	5110	15332
250	5124	15292
251	5145	15274
252	5165	15251
253	5186	15233
254	5205	15208
255	5229	15197
256	5252	15183
257	5276	15174
258	5298	15158
259	5314	15126
260	5334	15105
261	5352	15077
262	5373	15059
263	5392	15033
264	5414	15016
265	5432	14991
266	5449	14959
267	5474	14951
268	5499	14943
269	5528	14948
270	5552	14937
271	5569	14906
272	5591	14891
273	5615	14878
274	5635	14856
275	5656	14838
276	5677	14818
277	5695	14791
278	5712	14763
279	5729	14734
280	5752	14720
281	5774	14703
282	5790	14670
283	5813	14657
284	5835	14639
285	5860	14631
286	5883	14617
287	5903	14595
288	5922	14569
289	5940	14543
290	5958	14516
291	5972	14480
292	5991	14457
293	6007	14426
294	6026	14402
295	6047	14382
296	6072	14373
297	6090	14347
298	6117	14341
299	6139	14324
300	6156	14296
301	6184	14293
302	6212	14291
303	6235	14276
304	6258	14260
305	6277	14238
306	6293	14206
307	6320	14199
308	6336	14169
309	6355	14145
310	6368	14109
311	6395	14102
312	6425	14103
313	6447	14086
314	6469	14067
315	6488	14045
316	6509	14024
317	6531	14008
318	6553	13989
319	6572	13966
320	6592	13945
321	6612	13922
322	6640	13918
323	6664	13904
324	6687	13888
325	6713	13880
326	6738	13867
327	6767	13865
328	6797	13864
329	6839	13885
330	6861	13867
331	6889	13861
332	6907	13836
333	6931	13820
334	6950	13796
335	6969	13773
336	6986	13745
337	7011	13732
338	7035	13717
339	7055	13695
340	7075	13674
341	7091	13643
342	7109	13617
343	7124	13585
344	7144	13563
345	7165	13543
346	7182	13516
347	7201	13491
348	7222	13472
349	7249	13463
350	7272	13446
351	7297	13434
352	7319	13414
353	7339	13393
354	7363	13378
355	7388	13365
356	7409	13344
357	7433	13330
358	7453	13308
359	7474	13288
360	7486	13251
361	7506	13229
362	7524	13203
363	7541	13176
364	7559	13151
365	7580	13131
366	7605	13117
367	7620	13088
368	7641	13067
369	7662	13046
370	7681	13022
371	7699	12998
372	7722	12981
373	7740	12956
374	7760	12933
375	7777	12907
376	7794	12880
377	7810	12852
378	7825	12822
379	7849	12806
380	7865	12778
381	7884	12756
382	7896	12721
383	7919	12704
384	7939	12682
385	7961	12663
386	7979	12638
387	8010	12634
388	8026	12607
389	8050	12591
390	8076	12579
391	8090	12548
392	8112	12529
393	8131	12506
394	8155	12490
395	8180	12477
396	8200	12455
397	8220	12434
398	8235	12405
399	8263	12395
400	8285	12376
401	8305	12354
402	8323	12329
403	8340	12304
404	8359	12281
405	8375	12253
406	8393	12229
407	8408	12200
408	8429	12180
409	8446	12155
410	8467	12134
411	8487	12113
412	8511	12097
413	8532	12076
414	8553	12057
415	8567	12027
416	8588	12007
417	8604	11979
418	8628	11965
419	8648	11942
420	8663	11915
421	8678	11886
422	8693	11858
423	8717	11842
424	8733	11815
425	8753	11795
426	8770	11769
427	8789	11746
428	8806	11721
429	8820	11692
430	8835	11664
431	8855	11643
432	8869	11614
433	8890	11594
434	8908	11570
435	8924	11544
436	8936	11513
437	8957	11493
438	8971	11465
439	8992	11444
440	9014	11426
441	9032	11403
442	9045	11373
443	9072	11360
444	9097	11346
445	9116	11323
446	9134	11300
447	9154	11279
448	9177	11262
449	9199	11243
450	9216	11219
451	9230	11190
452	9253	11173
453	9268	11147
454	9287	11124
455	9303	11098
456	9319	11073
457	9332	11043
458	9349	11019
459	9365	10994
460	9382	10970
461	9402	10948
462	9421	10927
463	9438	10902
464	9451	10874
465	9462	10843
466	9485	10825
467	9500	10799
468	9525	10784
469	9544	10762
470	9560	10737
471	9582	10719
472	9601	10697
473	9621	10677
474	9639	10653
475	9663	10638
476	9680	10613
477	9695	10588
478	9712	10564
479	9730	10541
480	9752	10523
481	9769	10499
482	9791	10480
483	9811	10460
484	9825	10432
485	9844	10412
486	9861	10388
487	9882	10368
488	9901	10347
489	9921	10326
490	9939	10303
491	9957	10281
492	9975	10258
493	9989	10232
494	10011	10213
495	10030	10192
496	10043	10165
497	10064	10145
498	10084	10124
499	10110	10110
500	10127	10086
501	10145	10065
502	10164	10043
503	10185	10023
504	10208	10005
505	10226	9984
506	10247	9964
507	10266	9943
508	10282	9918
509	10300	9896
510	10320	9876
511	10341	9857
512	10359	9834
513	10377	9812
514	10404	9798
515	10422	9776
516	10453	9766
517	10474	9746
518	10487	9720
519	10504	9696
520	10524	9675
521	10542	9654
522	10560	9631
523	10577	9608
524	10594	9585
525	10612	9563
526	10629	9540
527	10649	9519
528	10673	9503
529	10689	9479
530	10708	9458
531	10724	9434
532	10739	9409
533	10762	9391
534	10785	9373
535	10805	9354
536	10826	9334
537	10844	9312
538	10863	9291
539	10886	9273
540	10905	9252
541	10935	9241
542	10954	9219
543	10971	9196
544	10994	9179
545	11014	9158
546	11031	9136
547	11052	9116
548	11070	9094
549	11090	9074
550	11105	9049
551	11120	9024
552	11137	9002
553	11156	8981
554	11178	8963
555	11193	8939
556	11208	8914
557	11221	8888
558	11235	8863
559	11253	8842
560	11271	8820
561	11286	8796
562	11302	8772
563	11322	8752
564	11342	8733
565	11363	8712
566	11393	8700
567	11416	8683
568	11440	8665
569	11460	8645
570	11475	8621
571	11498	8603
572	11518	8583
573	11533	8559
574	11550	8537
575	11565	8513
576	11585	8493
577	11607	8474
578	11632	8458
579	11648	8434
580	11665	8412
581	11686	8393
582	11704	8371
583	11715	8345
584	11735	8324
585	11753	8303
586	11768	8280
587	11792	8262
588	11810	8241
589	11829	8220
590	11850	8201
591	11866	8178
592	11888	8159
593	11904	8136
594	11922	8115
595	11934	8089
596	11949	8066
597	11973	8049
598	11996	8030
599	12022	8015
600	12051	8000
601	12074	7982
602	12091	7961
603	12111	7940
604	12130	7920
605	12150	7899
606	12172	7880
607	12193	7861
608	12218	7844
609	12246	7829
610	12268	7811
611	12288	7790
612	12317	7776
613	12338	7756
614	12359	7737
615	12385	7720
616	12406	7701
617	12428	7682
618	12448	7662
619	12467	7641
620	12490	7623
621	12507	7601
622	12530	7582
623	12548	7561
624	12576	7546
625	12599	7527
626	12621	7508
627	12652	7494
628	12675	7476
629	12701	7459
630	12719	7438
631	12738	7417
632	12755	7395
633	12781	7378
634	12807	7361
635	12840	7349
636	12874	7336
637	12914	7327
638	12944	7313
639	12973	7297
640	12993	7277
641	13013	7256
642	13034	7237
643	13058	7218
644	13075	7196
645	13098	7178
646	13120	7158
647	13135	7135
648	13153	7113
649	13176	7094
650	13198	7075
651	13228	7060
652	13253	7042
653	13276	7023
654	13311	7011
655	13345	6997
656	13373	6982
657	13398	6963
658	13424	6946
659	13452	6929
660	13473	6910
661	13500	6893
662	13523	6874
663	13551	6857
664	13573	6837
665	13598	6819
666	13630	6805
667	13652	6785
668	13670	6763
669	13693	6744
670	13722	6728
671	13744	6708
672	13762	6686
673	13784	6667
674	13803	6646
675	13827	6627
676	13853	6609
677	13883	6593
678	13906	6574
679	13928	6554
680	13949	6534
681	13966	6512
682	13986	6491
683	14007	6471
684	14030	6451
685	14061	6436
686	14091	6420
687	14127	6406
688	14161	6391
689	14194	6377
690	14213	6355
691	14235	6336
692	14259	6316
693	14277	6295
694	14297	6274
695	14312	6251
696	14330	6229
697	14348	6208
698	14364	6185
699	14381	6163
700	14399	6141
701	14417	6120
702	14429	6096
703	14447	6074
704	14467	6053
705	14483	6031
706	14503	6010
707	14525	5990
708	14547	5971
709	14561	5947
710	14584	5928
711	14601	5906
712	14620	5885
713	14638	5863
714	14660	5843
715	14683	5823
716	14703	5803
717	14728	5784
718	14744	5762
719	14762	5741
720	14785	5721
721	14809	5702
722	14834	5683
723	14852	5662
724	14872	5641
725	14888	5619
726	14905	5597
727	14931	5578
728	14949	5557
729	14972	5537
730	14994	5517
731	15013	5496
732	15036	5476
733	15056	5456
734	15070	5433
735	15084	5410
736	15114	5393
737	15131	5371
738	15146	5349
739	15160	5326
740	15178	5305
741	15202	5285
742	15218	5264
743	15241	5244
744	15260	5223
745	15277	5201
746	15301	5182
747	15319	5161
748	15340	5140
749	15363	5121
750	15381	5099
751	15396	5077
752	15421	5058
753	15442	5038
754	15463	5018
755	15483	4997
756	15498	4975
757	15510	4951
758	15527	4930
759	15549	4910
760	15566	4888
761	15586	4868
762	15608	4848
763	15628	4827
764	15648	4807
765	15668	4786
766	15691	4766
767	15705	4744
768	15726	4724
769	15745	4703
770	15766	4682
771	15784	4661
772	15800	4639
773	15810	4616
774	15823	4594
775	15838	4571
776	15857	4551
777	15875	4530
778	15904	4512
779	15921	4490
780	15943	4470
781	15962	4449
782	15994	4432
783	16022	4414
784	16036	4392
785	16056	4371
786	16077	4351
787	16095	4330
788	16114	4309
789	16133	4288
790	16150	4267
791	16167	4246
792	16185	4225
793	16201	4203
794	16223	4183
795	16248	4164
796	16267	4143
797	16291	4123
798	16313	4103
799	16334	4083
800	16354	4063
801	16376	4043
802	16404	4024
803	16424	4003
804	16445	3983
805	16469	3964
806	16489	3943
807	16513	3923
808	16529	3902
809	16558	3884
810	16579	3863
811	16594	3841
812	16610	3820
813	16626	3799
814	16643	3778
815	16661	3756
816	16676	3735
817	16690	3713
818	16710	3693
819	16727	3671
820	16743	3650
821	16762	3629
822	16783	3609
823	16805	3589
824	16823	3568
825	16844	3548
826	16860	3527
827	16879	3506
828	16899	3485
829	16914	3464
830	16941	3445
831	16961	3424
832	16978	3403
833	16995	3382
834	17010	3361
835	17029	3340
836	17046	3319
837	17066	3299
838	17085	3278
839	17104	3257
840	17124	3237
841	17147	3217
842	17163	3196
843	17184	3176
844	17200	3155
845	17221	3134
846	17237	3113
847	17260	3093
848	17276	3072
849	17290	3051
850	17310	3030
851	17329	3010
852	17350	2989
853	17364	2968
854	17381	2947
855	17404	2927
856	17420	2906
857	17443	2886
858	17466	2866
859	17480	2845
860	17496	2824
861	17523	2805
862	17547	2785
863	17562	2764
864	17584	2744
865	17607	2724
866	17629	2704
867	17650	2684
868	17677	2664
869	17695	2644
870	17715	2623
871	17735	2603
872	17753	2582
873	17770	2561
874	17790	2541
875	17818	2522
876	17845	2502
877	17861	2481
878	17880	2461
879	17901	2441
880	17924	2421
881	17943	2400
882	17964	2380
883	17983	2359
884	18001	2339
885	18026	2319
886	18041	2298
887	18057	2277
888	18079	2257
889	18098	2236
890	18122	2217
891	18138	2196
892	18158	2175
893	18179	2155
894	18202	2135
895	18228	2115
896	18251	2095
897	18278	2076
898	18306	2056
899	18329	2036
900	18347	2016
901	18371	1996
902	18393	1975
903	18416	1955
904	18430	1934
905	18456	1914
906	18475	1894
907	18495	1873
908	18518	1853
909	18532	1832
910	18554	1812
911	18575	1792
912	18597	1772
913	18619	1751
914	18639	1731
915	18657	1710
916	18678	1690
917	18699	1670
918	18724	1650
919	18746	1630
920	18765	1609
921	18783	1589
922	18807	1568
923	18832	1549
924	18852	1528
925	18867	1507
926	18888	1487
927	18908	1467
928	18931	1446
929	18961	1427
930	18975	1406
931	18996	1385
932	19015	1365
933	19035	1345
934	19051	1324
935	19070	1303
936	19084	1283
937	19100	1262
938	19122	1242
939	19140	1221
940	19163	1201
941	19178	1180
942	19194	1160
943	19214	1139
944	19228	1119
945	19250	1098
946	19274	1078
947	19291	1058
948	19313	1037
949	19337	1017
950	19357	997
951	19375	976
952	19395	956
953	19414	936
954	19441	916
955	19467	895
956	19490	875
957	19507	855
958	19521	834
959	19540	814
960	19566	794
961	19590	773
962	19608	753
963	19627	732
964	19649	712
965	19669	692
966	19684	671
967	19708	651
968	19722	630
969	19742	610
970	19758	590
971	19778	569
972	19799	549
973	19815	528
974	19833	508
975	19847	488
976	19866	467
977	19882	447
978	19900	426
979	19917	406
980	19937	386
981	19959	365
982	19986	345
983	20003	325
984	20029	305
985	20056	284
986	20076	264
987	20098	244
988	20117	223
989	20135	203
990	20155	183
991	20171	162
992	20186	142
993	20198	121
994	20220	101
995	20239	81
996	20254	60
997	20265	40
998	20283	20
999	20300	0
